id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.province,children_count.municipality,children_count.commune,zip_codes,geo.lat,geo.lon
AO09071,2,Município,Municipality,Chicomba,Chicomba,chicomba-ao09071,AO09071,,AO09,Huíla,Huíla,,,2,,-14.318,15.029
AO09072,2,Município,Municipality,Chipindo,Chipindo,chipindo-ao09072,AO09072,,AO09,Huíla,Huíla,,,2,,-13.915,15.712
AO09073,2,Município,Municipality,Gambos (ex-Chiange),Gambos (ex-Chiange),gambos-ex-chiange-ao09073,AO09073,,AO09,Huíla,Huíla,,,2,,-15.833,14.234
AO09074,2,Município,Municipality,Humpata,Humpata,humpata-ao09074,AO09074,,AO09,Huíla,Huíla,,,1,,-15.098,13.384
AO09075,2,Município,Municipality,Jamba,Jamba,jamba-ao09075,AO09075,,AO09,Huíla,Huíla,,,3,,-14.783,15.816
AO09076,2,Município,Municipality,Cuvango (Kuvango),Cuvango (Kuvango),cuvango-kuvango-ao09076,AO09076,,AO09,Huíla,Huíla,,,3,,-14.275,16.303
AO09077,2,Município,Municipality,Lubango,Lubango,lubango-ao09077,AO09077,,AO09,Huíla,Huíla,,,3,,-14.788,13.737
AO09078,2,Município,Municipality,Matala,Matala,matala-ao09078,AO09078,,AO09,Huíla,Huíla,,,3,,-15.252,15.192
AO09079,2,Município,Municipality,Quilengues,Quilengues,quilengues-ao09079,AO09079,,AO09,Huíla,Huíla,,,3,,-14.163,13.755
AO09080,2,Município,Municipality,Quipungo (Tchipungo),Quipungo (Tchipungo),quipungo-tchipungo-ao09080,AO09080,,AO09,Huíla,Huíla,,,1,,-15.073,14.583
AO09165,2,Município,Municipality,Cacula,Cacula,cacula-ao09165,AO09165,,AO09,Huíla,Huíla,,,4,,-14.413,14.385
AO10,1,Província,Province,Huambo,Huambo,huambo-ao10,AO10,,,,,,11,37,,-12.605,15.609
AO10081,2,Município,Municipality,Bailundo,Bailundo,bailundo-ao10081,AO10081,,AO10,Huambo,Huambo,,,5,,-11.924,15.679
